Year,TEAM,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LV,LAR,LAC,MIA,MIN,NE,NO,NYG,NYJ,PHI,PIT,SF,SEA,TB,TEN,WSH
2024,11,BYE,@DEN,@PIT,KC,BYE,GB,@LAC,@NO,HOU,ATL,JAX,@CHI,@DAL,@NYJ,@DET,@BUF,@MIA,@NE,CIN,LV,@TEN,LAR,CLE,BYE,IND,WSH,BAL,SEA,@SF,BYE,MIN,@PHI
2024,12,@SEA,BYE,@LAC,BYE,KC,MIN,BYE,PIT,@WSH,@LV,@IND,SF,TEN,DET,BYE,@CAR,DEN,PHI,BAL,NE,@CHI,@MIA,BYE,TB,BYE,@LAR,@CLE,@GB,ARI,@NYG,@HOU,DAL
2024,13,@MIN,LAC,PHI,SF,TB,@DET,PIT,@DEN,NYG,CLE,CHI,MIA,@JAX,@NE,HOU,LV,@KC,@NO,@ATL,@GB,ARI,IND,LAR,@DAL,SEA,@BAL,@CIN,@BUF,@NYJ,@CAR,@WSH,TEN
2024,14,SEA,@MIN,BYE,@LAR,@PHI,@SF,@DAL,@PIT,CIN,BYE,GB,@DET,BYE,BYE,@TEN,LAC,@TB,BUF,@KC,NYJ,ATL,BYE,@NYG,NO,@MIA,CAR,CLE,CHI,@ARI,LV,JAX,BYE
2024,15,NE,@LV,@NYG,@DET,DAL,@MIN,@TEN,KC,@CAR,IND,BUF,@SEA,MIA,@DEN,NYJ,@CLE,ATL,@SF,TB,@HOU,CHI,@ARI,WSH,BAL,@JAX,PIT,@PHI,LAR,GB,@LAC,CIN,@NO
2024,16,@CAR,NYG,PIT,NE,ARI,DET,CLE,@CIN,TB,@LAC,@CHI,NO,@KC,TEN,@LV,HOU,JAX,@NYJ,DEN,SF,@SEA,@BUF,@GB,@ATL,LAR,@WSH,@BAL,@MIA,MIN,@DAL,@IND,PHI
2024,17,@LAR,@WSH,@HOU,NYJ,@TB,SEA,DEN,MIA,@PHI,@CIN,@SF,@MIN,BAL,@NYG,TEN,@PIT,@NO,ARI,@NE,@CLE,GB,LAC,LV,IND,@BUF,DAL,KC,DET,@CHI,CAR,@JAX,ATL
2024,18,SF,CAR,CLE,@NE,@ATL,@GB,@PIT,@BAL,WSH,KC,MIN,CHI,@TEN,JAX,@IND,@DEN,LAC,SEA,@LV,@NYJ,@DET,BUF,@TB,@PHI,MIA,NYG,CIN,@ARI,@LAR,NO,HOU,@DAL
2023,1,@WSH,CAR,HOU,@NYJ,@ATL,GB,@CLE,CIN,@NYG,LV,@KC,@CHI,@BAL,JAX,@IND,DET,@DEN,@SEA,MIA,@LAC,TB,PHI,TEN,DAL,BUF,@NE,SF,@PIT,LAR,@MIN,@NO,ARI
2023,2,NYG,GB,@CIN,LV,NO,@TB,BAL,@PIT,NYJ,WSH,SEA,@ATL,IND,@HOU,KC,@JAX,@BUF,SF,@TEN,@NE,@PHI,MIA,@CAR,@ARI,@DAL,MIN,CLE,@LAR,@DET,CHI,LAC,@DEN
2023,3,DAL,@DET,IND,@WSH,@SEA,@KC,LAR,TEN,@ARI,@MIA,ATL,NO,@JAX,@BAL,HOU,CHI,PIT,@CIN,@MIN,DEN,LAC,@NYJ,@GB,@SF,NE,@TB,@LV,NYG,CAR,PHI,@CLE,BUF
2023,4,@SF,@JAX,@CLE,MIA,MIN,DEN,@TEN,BAL,NE,@CHI,@GB,DET,PIT,LAR,ATL,@NYJ,@LAC,@IND,LV,@BUF,@CAR,@DAL,TB,SEA,KC,WSH,@HOU,ARI,@NYG,@NO,CIN,@PHI
2023,5,CIN,HOU,@PIT,JAX,@DET,@WSH,@ARI,BYE,@SF,NYJ,CAR,@LV,@ATL,TEN,@BUF,@MIN,GB,PHI,BYE,NYG,KC,NO,@NE,@MIA,@DEN,@LAR,BAL,DAL,BYE,BYE,@IND,CHI
